datahora,favor,contra
2016-09-03 23:35:08,110706,11064
2016-09-03 23:35:39,110737,11067
2016-09-03 23:36:11,110765,11067
2016-09-03 23:36:42,110793,11069
2016-09-03 23:37:13,110821,11069
2016-09-03 23:37:44,110847,11070
2016-09-03 23:38:16,110888,11070
2016-09-03 23:38:47,110922,11071
2016-09-03 23:39:18,110947,11072
2016-09-03 23:39:49,110974,11073
2016-09-03 23:40:20,111007,11073
2016-09-03 23:40:51,111031,11074
2016-09-03 23:41:23,111056,11074
2016-09-03 23:41:54,111086,11075
2016-09-03 23:42:25,111123,11075
2016-09-03 23:42:56,111150,11075
2016-09-03 23:43:27,111176,11075
2016-09-03 23:43:58,111194,11075
2016-09-03 23:44:30,111219,11075
2016-09-03 23:45:01,111247,11075
2016-09-03 23:45:32,111263,11076
2016-09-03 23:46:04,111305,11079
2016-09-03 23:46:35,111324,11079
2016-09-03 23:47:07,111351,11081
2016-09-03 23:47:38,111372,11085
2016-09-03 23:48:09,111399,11087
2016-09-03 23:48:40,111427,11088
2016-09-03 23:49:11,111462,11090
2016-09-03 23:49:42,111493,11091
2016-09-03 23:50:14,111522,11093
2016-09-03 23:50:45,111546,11094
2016-09-03 23:51:16,111571,11096
2016-09-03 23:51:47,111618,11098
2016-09-03 23:52:18,111646,11098
2016-09-03 23:52:49,111669,11099
2016-09-03 23:53:20,111688,11100
2016-09-03 23:53:52,111711,11102
2016-09-03 23:54:24,111743,11103
2016-09-03 23:54:55,111773,11103
2016-09-03 23:55:26,111798,11103
2016-09-03 23:55:57,111827,11104
2016-09-03 23:56:28,111850,11104
2016-09-03 23:57:00,111875,11104
2016-09-03 23:57:31,111910,11106
2016-09-03 23:58:02,111945,11108
2016-09-03 23:58:34,111976,11111
2016-09-03 23:59:05,112000,11112
2016-09-03 23:59:36,112022,11112
2016-09-04 00:00:07,112034,11113
2016-09-04 00:00:38,112056,11113
2016-09-04 00:01:09,112072,11115
2016-09-04 00:01:40,112099,11118
2016-09-04 00:02:12,112125,11119
2016-09-04 00:02:43,112146,11120
2016-09-04 00:03:14,112169,11124
2016-09-04 00:03:45,112188,11124
2016-09-04 00:04:16,112220,11124
2016-09-04 00:04:47,112247,11124
2016-09-04 00:05:18,112272,11127
2016-09-04 00:05:50,112289,11129
2016-09-04 00:06:22,112314,11130
2016-09-04 00:06:53,112345,11130
2016-09-04 00:07:24,112365,11131
2016-09-04 00:07:56,112387,11133
2016-09-04 00:08:27,112418,11134
2016-09-04 00:08:58,112452,11136
2016-09-04 00:09:29,112476,11136
2016-09-04 00:10:01,112493,11136
2016-09-04 00:10:32,112517,11136
2016-09-04 00:11:03,112539,11140
